"Ссылка","Код","Группа образовательных программ","Балл ЕНТ","Профильные предметы","Программы","Описание"
"https://ksu.edu.kz/enrollee/bakalavriat/6b1/b001-pedagogika-i-psihologiya/","B001","Педагогика и психология","75","Биология, География","6B01101 Педагогика и психология; 6B01102 Психология (IP)","Профессия педагога-психолога сегодня во всём мире считается одной из самых популярных среди молодежи. Востребованность профессии педагог - психолог всегда актуальна и эта актуальность только растет из года в год. По завершению обучения Вы сможете работать: в дошкольных организациях всех типов; общеобразовательных школах, в том числе школах-лицях, школах-гимназиях, малокомплектных школах, санаторных школах, спортивных школах, детских домах; специальных коррекционных организациях (школах-интернатах, классах для детей и подростков, с особыми образовательными потребностиями); учебных заведениях начального профессионального образования (лицеях); средних профессиональных учебных заведениях (колледжах)."
"https://ksu.edu.kz/enrollee/bakalavriat/6b1/b2/","B002","Дошкольное обучение и воспитание","75","Биология, География","6B01201 Дошкольное обучение и воспитание; 6B01202 Дошкольное образование (IP)","Воспитатель в детском саду – самый важный человек в жизни ребенка после родителей. Развитие ребенка, его восприятие мира, социализация во многом зависит от воспитателя. Воспитатель работает с малышами от года до 6 лет. По завершению обучения Вы сможете работать: во всех дошкольных организациях образования, в частных организациях образования, в управлении образования и других образовательных учреждениях."
"https://ksu.edu.kz/enrollee/bakalavriat/6b1/b3/","B003","Педагогика и методика начального обучения","75","Биология, География","6B01301 Педагогика и методика начального обучения; 6B01302 Начальное образование (IP)","Учитель начальных классов — это человек, который разбирается в азах каждого школьного предмета. Он знает, как привлечь внимание детей, как интересно преподнести тему, как увлечь обучением. Учитель младших классов сочетает в себе функции преподавателя, воспитателя и психолога. По завершению обучения Вы сможете работать: в общеобразовательных учебных заведениях, в специализированных школах, в учреждениях культуры и дополнительного образования, в частных школах."
"https://ksu.edu.kz/enrollee/bakalavriat/6b1/b4/","B004","Подготовка учителей начальной военной подготовки","75","Нормативы по видам спорта, Спортивные игры","6B01409 Начальная военная подготовка и физическая культура","По завершению обучения Вы сможете работать: специалистом физической культуры (учитель физической культуры, инструктор по спорту) в государственных и частных организациях дошкольного, школьного и средне-специального образования. специалистом по начальной военной подготовке в организациях образования (учитель НВП и др.) инструктором по спорту в дошкольной развивающем комплексе, дворце школьников, станции юных туристов, детском дворовом клубе, детско-юношеской спортивной школе, специализированных детско-юношеских школах олимпийского резерва и др.; специалистом в государственном и частном учреждении регулирования и развития физкультурно-спортивной деятельности (акимат, управление по спорту и др.)."
"https://ksu.edu.kz/enrollee/bakalavriat/6b1/b5/","B005","Подготовка учителей физической культуры","75","Нормативы по видам спорта, Спортивные игры","6B01401 Физическая культура и спорт; 6B01410 Физическая культура и спорт (IP)","По завершению обучения Вы сможете работать: специалистом физической культуры (учитель физической культуры, инструктор по спорту) в государственных и частных организациях дошкольного, школьного и средне-специального образования. инструктором по спорту/тренер/методист в дошкольной развивающем комплексе, дворце школьников, станции юных туристов, детском дворовом клубе, детско-юношеской спортивной школе, специализированных детско-юношеских школах олимпийского резерва и др.; специалистом в государственном и частном учреждении регулирования и развития физкультурно-спортивной деятельности (акимат, управление по спорту и др.)."
"https://ksu.edu.kz/enrollee/bakalavriat/6b1/b6/","B006","Подготовка учителей музыки","75","Исполнительское искусство, Демонстрация общих музыкальных способностей","6B01402 Музыкальное образование","По завершению обучения Вы сможете работать: в общеобразовательных школах, в школах искусств, в областной филармонии, в домах культуры, в студиях, в детских садах и колледжах."
"https://ksu.edu.kz/enrollee/bakalavriat/6b1/b7/","B007","Подготовка учителей художественного труда и черчения","75","Рисунок (рисунок маски лица человека, сделанного из гипса), Живопись (натюрморт)","6B01406 Визуальное искусство, художественный труд, графика и проектирование","По завершению обучения Вы сможете работать: в общеобразовательных школах, в школах искусств, в областной филармонии, в домах культуры, в студиях, в детских садах и колледжах."
"https://ksu.edu.kz/enrollee/bakalavriat/6b1/b9/","B009","Подготовка учителей математики","75","Математика, Физика","6B01501 Математика; 6B01518 Математика (IP)","По завершению обучения Вы сможете работать: учителями в средней школе, преподавателями в колледжах, средних профессиональных лицеях, специалистами в научных центрах, научно-исследовательских институтах, специалистами в организациях государственного управления, специалистами области компьютерного дизайна, робототехники, методистами и специалистами в организациях образования."
"https://ksu.edu.kz/enrollee/bakalavriat/6b1/b10/","B010","Подготовка учителей физики","75","Математика, Физика","6B01502 Физика; 6B01520 Физика (IP)","По завершению обучения Вы сможете работать: учителями в средней школе, преподавателями в колледжах, средних профессиональных лицеях, специалистами в научных центрах, научно-исследовательских институтах, специалистами в организациях государственного управления, специалистами области компьютерного дизайна, робототехники, методистами и специалистами в организациях образования."
"https://ksu.edu.kz/enrollee/bakalavriat/6b1/b11/","B011","Подготовка учителей информатики","75","Математика, Информатика","6B01510 Информатика, робототехника и проектирование","По завершению обучения Вы сможете работать: учителями в средней школе, преподавателями в колледжах, средних профессиональных лицеях, специалистами в научных центрах, научно-исследовательских институтах, специалистами в организациях государственного управления, специалистами области компьютерного дизайна, робототехники, методистами и специалистами в организациях образования."
